,MAE,RMSE,Bias,R2,Spearman_Corr,MAPE(%),RRMSE(%),Nash_Sutcliffe,Index_Agreement,KS_statistic,Max_Error(%),Min_Error(%),Variance_Ratio
bilinear,0.07591659648146168,0.2696022726581168,-0.0007040016350083599,0.9944243142146689,0.974083394811372,48643167.46430092,20.969001526944034,0.994412453784677,0.9985924100369381,0.0395965576171875,0.1315285525745968,0.0,0.9875786114201566
idw,0.06915709233503889,0.2627385666348493,0.0044607710041516735,0.9947008453526298,0.9635469543499495,45007259.23934504,20.435159357650072,0.9946933348668505,0.9986647813110714,0.0602264404296875,0.038478396010223764,0.0,0.9898286560179391
kriging,0.21351281818445078,0.6639045429698852,-0.030653135618896446,0.96810892440578,0.9284759636032944,92130315.57134898,51.63686210069297,0.9661167303903175,0.9909259904939031,0.130279541015625,12.89936933158967,0.0,0.8838028287962177
spline,0.07807907696831098,0.27534206036125325,0.005707531796527475,0.9941987328261457,0.9335879233451799,78765684.09821321,21.4154280942157,0.9941720053242242,0.9985438269272181,0.0720977783203125,1.0415282950813634,1197534742.57703,1.0040377951567572
rbf,0.2093896120786667,0.818691602502027,0.019001029431819916,0.9523731339616002,0.8036009005683445,431798427.7432709,63.67581880413506,0.948475391316691,0.9874521948598718,0.057403564453125,95.45481658216522,4000000000000.0,1.0776626109735654
