,MAE,RMSE,Bias,R2,Spearman_Corr,MAPE(%),RRMSE(%),Nash_Sutcliffe,Index_Agreement,KS_statistic,Max_Error(%),Min_Error(%),Variance_Ratio
bilinear,0.1404259998153038,0.2777748538584088,-0.0002239917474715117,0.9851857552998704,0.9913124314305598,10.720020257460638,6.710848487650926,0.9851344761920237,0.9962163351339415,0.0151519775390625,0.017464358711462763,4.7882500952586735,0.9710229579715077
idw,0.13871676041671946,0.2847943449037178,0.003298269874780535,0.9847366194857712,0.990969235536077,10.778799738505146,6.880434539848089,0.9843736666760177,0.9959736740098164,0.0184173583984375,0.0014219884540632663,4.51114971629263,0.9473960689291663
kriging,0.3828729246548067,0.679218709944996,-0.02080426180507202,0.9141795641992517,0.9576873684208035,24.99833860181962,16.40945459642659,0.9111180360182061,0.9749405439993256,0.0666656494140625,2.270706708337946,33.577301488619085,0.8128014750471203
spline,0.14925853116289192,0.2887707559131425,0.007266661017067495,0.9839524712019764,0.9906311693062705,11.391449191907425,6.976501881575424,0.9839342582838676,0.9959481312402152,0.0122528076171875,0.2650736772603359,2.1331636684293875,0.9895856503421768
rbf,0.4823786382912658,1.098809278546526,0.0003928542137145996,0.8043910654696649,0.9223536493654798,30.196239302778576,26.546472737627674,0.7673843139540539,0.9448026630056297,0.0492401123046875,77.41132535244675,448.5815929663187,1.186465179875915
