,MAE,RMSE,Bias,R2,Spearman_Corr,MAPE(%),RRMSE(%),Nash_Sutcliffe,Index_Agreement,KS_statistic,Max_Error(%),Min_Error(%),Variance_Ratio
bilinear,0.1260386838099495,0.3189107185463648,-0.0018634025851516824,0.9969562327287068,0.9957133888351011,4.236414440442798,5.802343294225108,0.9969547143070372,0.9992361519657049,0.011474609375,7.338732910418982,2.5903552962506327,0.9945826544956843
idw,0.12107121851663181,0.31975509220124354,-0.008320018043113222,0.9969407076610678,0.9957681807033802,3.996454942174471,5.817706044767133,0.996938567072533,0.9992327897270945,0.015106201171875,7.323649675678501,3.8498499110777527,0.9964204994241541
kriging,0.34485942235520956,0.8195051044636005,-0.05082859123460475,0.9800390439491128,0.9798199538849276,10.044634124463474,14.910285766316465,0.9798908767456616,0.9949461039243246,0.03253173828125,8.944885906651296,12.700751528447835,0.9967706642718172
spline,0.13675656076979953,0.3342147076396745,0.0020558097094021135,0.9966564023880353,0.9955059136178428,4.775262954715921,6.08078799152226,0.9966554251047545,0.9991626848487745,0.0121002197265625,0.10063488384220133,1.2932535981611992,0.9984988726964774
rbf,0.4986753980629146,1.5216773370629828,0.02525939792394638,0.9351203062763199,0.967634816147444,17.705376613128657,27.685787210059143,0.9306678041567876,0.9830343504680606,0.0379791259765625,160.06091209412605,193.80888535661478,1.068328858866025
