latitude,longitude
51.93987,5.589869
51.93987,5.592252
51.93986,5.594635
51.93986,5.597017
51.93985,5.5994
51.93985,5.601782
51.93985,5.604165
51.93984,5.606547
51.93983,5.60893
51.93983,5.611313
51.93983,5.613696
51.93982,5.616078
51.93982,5.618461
51.93981,5.620843
51.93981,5.623226
51.9398,5.625608
51.9398,5.627991
51.93979,5.630374
51.93979,5.632756
51.93979,5.635139
51.93978,5.637522
51.93977,5.639904
51.93977,5.642287
51.93976,5.64467
51.93976,5.647052
51.93975,5.649435
51.93975,5.651817
51.93974,5.6542
51.93974,5.656582
51.93973,5.658965
51.93972,5.661348
51.93972,5.66373
51.93971,5.666113
51.93971,5.668496
51.9397,5.670878
51.9397,5.673261
51.93969,5.675643
51.93969,5.678026
51.93968,5.680408
51.93967,5.682791
51.93967,5.685174
51.93966,5.687556
51.93966,5.689939
51.93965,5.692322
51.93964,5.694704
51.93964,5.697087
51.93963,5.69947
51.93962,5.701852
51.93962,5.704235
51.93961,5.706617
51.93961,5.709
51.9396,5.711382
51.93959,5.713765
51.93958,5.716147
51.93958,5.71853
51.93957,5.720913
51.93956,5.723295
51.93956,5.725678
51.93955,5.728061
51.93954,5.730443
51.93954,5.732826
51.93953,5.735209
51.93952,5.737591
51.93951,5.739974
51.94134,5.589876
51.94134,5.592258
51.94133,5.594641
51.94133,5.597024
51.94133,5.599407
51.94132,5.601789
51.94132,5.604172
51.94131,5.606555
51.94131,5.608937
51.9413,5.61132
51.9413,5.613703
51.9413,5.616086
51.94129,5.618468
51.94128,5.620851
51.94128,5.623234
51.94128,5.625617
51.94127,5.627999
51.94127,5.630382
51.94126,5.632764
51.94126,5.635147
51.94125,5.63753
51.94125,5.639913
51.94124,5.642295
51.94123,5.644678
51.94123,5.64706
51.94123,5.649443
51.94122,5.651826
51.94122,5.654209
51.94121,5.656591
51.9412,5.658974
51.9412,5.661357
51.94119,5.66374
51.94118,5.666122
51.94118,5.668505
51.94117,5.670887
51.94117,5.67327
51.94116,5.675653
51.94116,5.678036
51.94115,5.680418
51.94115,5.682801
51.94114,5.685184
51.94114,5.687566
51.94113,5.689949
51.94112,5.692332
51.94112,5.694714
51.94111,5.697097
51.9411,5.69948
51.9411,5.701862
51.94109,5.704245
51.94108,5.706628
51.94108,5.70901
51.94107,5.711393
51.94106,5.713776
51.94106,5.716158
51.94105,5.718541
51.94104,5.720924
51.94104,5.723306
51.94103,5.725689
51.94102,5.728072
51.94102,5.730454
51.94101,5.732837
51.941,5.735219
51.94099,5.737602
51.94099,5.739985
51.94281,5.589882
51.94281,5.592265
51.94281,5.594648
51.9428,5.597031
51.9428,5.599414
51.94279,5.601797
51.94279,5.604179
51.94279,5.606562
51.94278,5.608945
51.94278,5.611328
51.94277,5.61371
51.94277,5.616093
51.94276,5.618476
51.94276,5.620859
51.94275,5.623241
51.94275,5.625624
51.94275,5.628007
51.94274,5.63039
51.94273,5.632772
51.94273,5.635155
51.94272,5.637538
51.94272,5.639921
51.94271,5.642303
51.94271,5.644686
51.9427,5.647069
51.9427,5.649452
51.94269,5.651834
51.94269,5.654217
51.94268,5.6566
51.94268,5.658983
51.94267,5.661366
51.94267,5.663749
51.94266,5.666131
51.94265,5.668514
51.94265,5.670897
51.94264,5.67328
51.94263,5.675663
51.94263,5.678045
51.94262,5.680428
51.94262,5.682811
51.94261,5.685194
51.94261,5.687576
51.9426,5.689959
51.94259,5.692342
51.94259,5.694725
51.94258,5.697107
51.94257,5.69949
51.94257,5.701873
51.94256,5.704256
51.94255,5.706638
51.94255,5.709021
51.94254,5.711404
51.94254,5.713787
51.94253,5.716169
51.94252,5.718552
51.94252,5.720935
51.94251,5.723318
51.9425,5.7257
51.9425,5.728083
51.94249,5.730465
51.94248,5.732848
51.94247,5.735231
51.94247,5.737614
51.94246,5.739996
51.94429,5.589889
51.94428,5.592272
51.94428,5.594655
51.94427,5.597038
51.94427,5.599421
51.94427,5.601803
51.94426,5.604187
51.94426,5.606569
51.94425,5.608952
51.94425,5.611335
51.94424,5.613718
51.94424,5.616101
51.94424,5.618484
51.94423,5.620866
51.94423,5.623249
51.94422,5.625632
51.94422,5.628015
51.94421,5.630398
51.94421,5.632781
51.9442,5.635163
51.94419,5.637546
51.94419,5.639929
51.94419,5.642312
51.94418,5.644695
51.94418,5.647078
51.94417,5.64946
51.94416,5.651844
51.94416,5.654226
51.94415,5.656609
51.94415,5.658992
51.94414,5.661375
51.94414,5.663758
51.94413,5.666141
51.94413,5.668523
51.94412,5.670906
51.94411,5.673289
51.94411,5.675672
51.9441,5.678055
51.9441,5.680438
51.94409,5.68282
51.94408,5.685203
51.94408,5.687586
51.94407,5.689969
51.94407,5.692352
51.94406,5.694735
